Level	Rule Name	Subject	Property	Value
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#BIOGEN_Biobank	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Banque_Nationale_de_Données_Maladies_Rares	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#ESID	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#EUROCAT_Central_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#EpiCARE	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#EuroBloodNet_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Eurocat_Northern_Netherlands	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#European_Rare_Kidney_Disease_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#European_Rare_Vascular_Anomalies_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#European_Registry_for_Rare_Endocrine_Conditions	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#European_registry_for_congenital_hyperinsulinsm	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#French_Pulmonary_Hypertension_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#International_Network_on_Neurotransmitter_related_Disorders_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#JRC_Central_Authority	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#NEOCYST_Network_For_Early_Onset_Cystic_Kidney_Disease	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#National_Congenital_Anomaly_and_Rare_Disease_Registration_Service	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#PCD_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Paediatric_Transplantation_European_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Pharmachild	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#R-LIVER	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Radboud_Biobank	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Rare_Anaemia_Disorders_European_Epidemiological_Platform	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Rare_Kidney_Disease_Biobank	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Registry_of_Ehlers-Danlos_Syndrome_–_Registro_della_Sindrome_di_Ehlers-Danlos	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Registry_of_Multiple_Osteochondromas	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Registry_of_Ollier_Disease_and_Maffucci_Syndrome	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Registry_of_Osteogenesis_Imperfecta	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Rett_Networked_Database	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#SMArtCARE	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Spanish_Rare_Diseases_Research_Patient_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Spñanish_National_Rare_Diseases_Biobank	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#The_PRES_European_Network_of_Registries_for_Autoinflammatory_Diseases_in_Childhood_(Eurofever)	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#UMD_Netherlands	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Ukrainian_SMA_Registry	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Unified_European_Registry_for_Inherited_Metabolic_Disorders	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/ejp-rd.owl#Vasculitis_Ireland_Network_registry	IAO:0000115		
WARN	missing_definition	http://purl.org/ejp-rd/vocabulary/entity	IAO:0000115		
INFO	missing_superclass	http://purl.org/ejp-rd/vocabulary/entity	rdfs:subClassOf		
